Ваш возраст,Ваш пол,Какие привычки у вас уже есть? (Можно выбрать несколько),Что вы хотите улучшить? (Можно выбрать несколько),Сколько времени готовы тратить ежедневно на новую привычку?,Какое время суток предпочитаете для выполнения привычки?,Что мешает вам внедрять новые привычки? (Можно выбрать несколько):
18-25,Женский,Здоровое питание;Регулярные тренировки;Чтение;Медитация;Ранний подъем,Физическое здоровье;Продуктивность,15 минут,Утро,Нехватка времени
18-25,Женский,Регулярные тренировки,Ментальное здоровье;Продуктивность,30 минут,Утро,"Непонятно, с чего начать"
18-25,Мужской,Чтение;Ранний подъем,Ментальное здоровье;Продуктивность;Отношения,5 минут,Не важно,Нехватка времени;Нет мотивации
18-25,Женский,Здоровое питание;Ранний подъем,Физическое здоровье;Ментальное здоровье,15 минут,Утро,"Нехватка времени;Непонятно, с чего начать"
18-25,Женский,правильное распределение времени/следование ежедневному плану и заполнение этого плана на каждый день,Физическое здоровье;Ментальное здоровье;Финансы,15 минут,День,"Нехватка времени;Непонятно, с чего начать"
18-25,Мужской,Здоровое питание,Физическое здоровье;Ментальное здоровье;Продуктивность;Финансы;Отношения,30 минут,Не важно,Нехватка времени;Нет мотивации
18-25,Женский,Здоровое питание;Регулярные тренировки,Физическое здоровье;Ментальное здоровье;Продуктивность;Финансы,15 минут,Вечер,"Нет мотивации;Непонятно, с чего начать;Страх неудачи"
18-25,Женский,Здоровое питание;Регулярные тренировки;Чтение;Медитация,Продуктивность,1 час,Вечер,Нехватка времени
18-25,Мужской,Чтение;Ранний подъем,Физическое здоровье;Ментальное здоровье;Продуктивность;Финансы,30 минут,Вечер,"Нехватка времени;Непонятно, с чего начать"
18-25,Мужской,Регулярные тренировки;Чтение;Медитация,Физическое здоровье;Ментальное здоровье;Продуктивность;Финансы;Отношения,5 минут,Не важно,"Непонятно, с чего начать"
18-25,Женский,Регулярные тренировки,Физическое здоровье;Продуктивность;Финансы,15 минут,Не важно,Нет мотивации
